date,LT1,PT1
2022-09-12 19:00:00,74.74,4213.86
2022-09-12 18:00:00,61.08,3673.02
2022-09-12 17:00:00,50.46,3947.67
2022-09-12 16:00:00,54.77,4165.41
2022-09-12 15:00:00,58.77,4029.82
2022-09-12 14:00:00,60.15,3831.61
2022-09-12 13:00:00,35.32,3782.82
2022-09-12 12:00:00,9.26,6340.51
2022-09-12 11:00:00,7.82,6735.60
2022-09-12 10:00:00,9.56,6389.91
2022-09-12 09:00:00,12.02,6120.69
2022-09-12 08:00:00,13.15,5851.84
2022-09-12 07:00:00,15.98,5687.72
2022-09-12 06:00:00,18.00,5340.79
2022-09-12 05:00:00,20.63,5012.52
2022-09-12 04:00:00,23.31,4771.44
2022-09-12 03:00:00,25.76,4593.76
2022-09-12 02:00:00,28.25,4437.78
2022-09-12 01:00:00,31.91,4389.88
2022-09-12 00:00:00,34.92,4271.57
2022-09-11 23:00:00,37.40,4171.06
2022-09-11 22:00:00,38.09,4077.12
2022-09-11 21:00:00,38.42,3979.72
2022-09-11 20:00:00,38.42,3973.00
2022-09-11 19:00:00,38.37,3966.78
2022-09-11 18:00:00,38.34,3958.77
2022-09-11 17:00:00,38.30,3949.95
2022-09-11 16:00:00,38.23,3942.76
2022-09-11 15:00:00,38.23,3932.46
2022-09-11 14:00:00,38.28,3923.12
2022-09-11 13:00:00,38.25,3915.66
2022-09-11 12:00:00,38.24,3897.34
2022-09-11 11:00:00,38.33,3888.13
2022-09-11 10:00:00,38.25,3879.41
2022-09-11 09:00:00,37.89,3874.76
2022-09-11 08:00:00,38.22,3863.86
2022-09-11 07:00:00,38.55,3852.39
2022-09-11 06:00:00,38.56,3845.08
2022-09-11 05:00:00,38.56,3837.67
2022-09-11 04:00:00,38.55,3830.34
2022-09-11 03:00:00,38.58,3815.97
2022-09-11 02:00:00,38.63,3800.02
2022-09-11 01:00:00,38.61,3790.78
2022-09-11 00:00:00,38.62,3782.82
2022-09-10 23:00:00,38.61,3773.60
2022-09-10 22:00:00,38.60,3763.09
2022-09-10 21:00:00,38.65,3743.99
2022-09-10 20:00:00,39.29,3691.30
2022-09-10 19:00:00,39.55,3645.06
2022-09-10 18:00:00,40.43,3578.83
2022-09-10 17:00:00,41.37,3558.93
2022-09-10 16:00:00,43.34,3822.81
2022-09-10 15:00:00,44.58,3654.05
2022-09-10 14:00:00,46.79,3786.32
2022-09-10 13:00:00,48.30,3770.41
2022-09-10 12:00:00,50.01,3607.74
2022-09-10 11:00:00,50.89,3711.09
2022-09-10 10:00:00,51.15,3736.09
2022-09-10 09:00:00,51.88,3766.40
2022-09-10 08:00:00,53.05,3799.15
2022-09-10 07:00:00,56.20,3661.82
2022-09-10 06:00:00,59.06,3757.75
2022-09-10 05:00:00,60.53,3810.94
2022-09-10 04:00:00,62.88,3689.98
2022-09-10 03:00:00,65.42,3802.26
2022-09-10 02:00:00,69.48,3756.21
2022-09-10 01:00:00,72.68,3733.45
2022-09-10 00:00:00,75.59,3783.45
2022-09-09 23:00:00,77.93,4217.17
2022-09-09 22:00:00,79.60,3950.91
2022-09-09 21:00:00,73.44,3418.81
2022-09-09 20:00:00,40.98,3708.30
2022-09-09 19:00:00,31.55,3945.05
2022-09-09 18:00:00,35.53,3739.59
2022-09-09 17:00:00,39.48,3717.26
2022-09-09 16:00:00,42.50,3853.12
2022-09-09 15:00:00,46.02,3770.67
2022-09-09 14:00:00,48.84,3721.54
2022-09-09 13:00:00,51.90,3859.16
2022-09-09 12:00:00,54.68,3944.65
2022-09-09 11:00:00,56.79,3938.67
2022-09-09 10:00:00,58.61,3636.49
2022-09-09 09:00:00,57.78,3170.64
2022-09-09 08:00:00,26.72,3467.51
2022-09-09 07:00:00,10.54,4692.03
2022-09-09 06:00:00,13.16,4497.15
2022-09-09 05:00:00,14.96,4328.53
2022-09-09 04:00:00,17.98,4158.36
2022-09-09 03:00:00,20.80,4024.58
2022-09-09 02:00:00,23.05,3909.08
2022-09-09 01:00:00,25.95,3834.81
2022-09-09 00:00:00,28.18,3784.62
2022-09-08 23:00:00,29.88,3931.30
2022-09-08 22:00:00,32.18,3668.72
2022-09-08 21:00:00,33.34,3780.88
2022-09-08 20:00:00,35.57,3918.44
2022-09-08 19:00:00,38.54,3637.79
2022-09-08 18:00:00,41.04,3760.67
2022-09-08 17:00:00,42.22,3851.45
2022-09-08 16:00:00,44.56,4026.25
2022-09-08 15:00:00,45.95,3934.89
2022-09-08 14:00:00,24.30,4252.07
2022-09-08 13:00:00,14.55,4936.83
2022-09-08 12:00:00,17.83,4632.70
2022-09-08 11:00:00,21.44,4444.07
2022-09-08 10:00:00,24.00,4246.48
2022-09-08 09:00:00,27.99,4139.31
2022-09-08 08:00:00,30.43,4035.54
2022-09-08 07:00:00,31.65,3961.79
2022-09-08 06:00:00,33.98,3797.74
2022-09-08 05:00:00,36.37,3710.26
2022-09-08 04:00:00,40.12,3910.58
2022-09-08 03:00:00,41.84,3656.82
2022-09-08 02:00:00,42.80,3761.15
2022-09-08 01:00:00,44.18,3951.29
2022-09-08 00:00:00,45.33,3932.18
2022-09-07 23:00:00,47.39,3677.67
2022-09-07 22:00:00,48.01,3670.03
2022-09-07 21:00:00,49.11,3764.42
2022-09-07 20:00:00,50.92,3827.81
2022-09-07 19:00:00,53.69,3891.74
2022-09-07 18:00:00,58.17,3889.11
2022-09-07 17:00:00,60.18,3796.42
2022-09-07 16:00:00,63.14,4000.96
2022-09-07 15:00:00,66.48,3654.76
2022-09-07 14:00:00,70.16,4199.02
2022-09-07 13:00:00,72.18,3754.63
2022-09-07 12:00:00,49.19,3729.74
2022-09-07 11:00:00,28.03,3996.39
2022-09-07 10:00:00,30.22,3863.74
2022-09-07 09:00:00,32.54,3637.42
2022-09-07 08:00:00,34.29,3536.31
2022-09-07 07:00:00,37.16,3680.55
2022-09-07 06:00:00,39.83,3946.37
2022-09-07 05:00:00,42.60,4087.89
2022-09-07 04:00:00,46.00,3651.82
2022-09-07 03:00:00,48.13,3829.14
2022-09-07 02:00:00,50.16,4083.94
2022-09-07 01:00:00,50.53,3958.18
2022-09-07 00:00:00,51.45,3841.03
2022-09-06 23:00:00,52.93,3982.53
2022-09-06 22:00:00,54.57,3601.03
2022-09-06 21:00:00,57.71,3668.17
2022-09-06 20:00:00,60.72,3870.31
2022-09-06 19:00:00,60.68,3882.04
2022-09-06 18:00:00,63.57,3894.66
2022-09-06 17:00:00,66.78,3762.71
2022-09-06 16:00:00,69.71,3828.53
2022-09-06 15:00:00,58.86,3547.19
2022-09-06 14:00:00,23.68,4506.13
2022-09-06 13:00:00,17.42,5113.61
2022-09-06 12:00:00,19.43,4942.79
2022-09-06 11:00:00,23.01,4721.79
2022-09-06 10:00:00,25.59,4584.56
2022-09-06 09:00:00,28.16,4489.04
2022-09-06 08:00:00,29.61,4340.91
2022-09-06 07:00:00,31.24,4246.41
2022-09-06 06:00:00,34.36,4162.18
2022-09-06 05:00:00,36.38,4052.84
2022-09-06 04:00:00,38.07,3955.19
2022-09-06 03:00:00,39.55,3891.08
2022-09-06 02:00:00,41.21,3885.33
2022-09-06 01:00:00,42.47,3742.57
2022-09-06 00:00:00,45.02,3638.63
2022-09-05 23:00:00,46.05,3602.15
2022-09-05 22:00:00,49.17,3832.28
2022-09-05 21:00:00,51.93,3650.83
2022-09-05 20:00:00,55.05,4034.36
2022-09-05 19:00:00,58.63,3939.80
2022-09-05 18:00:00,60.98,4018.47
2022-09-05 17:00:00,62.72,4211.03
2022-09-05 16:00:00,65.96,4204.36
2022-09-05 15:00:00,70.23,3870.32
2022-09-05 14:00:00,67.76,3623.47
2022-09-05 13:00:00,41.66,4239.88
